Eid|Sid|Order|Title|Created at|Description|Course
0|0|1|Lecture 1: Motivation, Intuition, and Examples|2023-05-22T14:30:17Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|YQQOfK3ZLRU
1|0|2|Lecture 2: General Theory|2023-05-22T14:30:10Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|uS-w4yl35vc
2|0|3|Lecture 3: Compact Sets in Rⁿ|2023-05-22T14:30:08Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|RdrCzc3DxLg
3|0|4|Lecture 4: Compact Metric Spaces|2023-05-22T14:30:15Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|Rv3xYk85Lq0
4|0|5|Lecture 5: Complete Metric Spaces|2023-05-22T14:30:12Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|6bPEZYhh1P4
5|0|6|Lecture 6: Where We Go from Here|2023-05-22T14:30:05Z|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|re2cL2GfUfM
6|1|1|1. Introduction to Statistics|2017-10-30T16:08:26Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|VPZD_aij8H0
7|1|2|2. Introduction to Statistics (cont.)|2017-08-17T20:51:45Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|C_W1adH-NVE
8|1|3|3. Parametric Inference|2017-08-17T20:51:54Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TSkDZbGS94k
9|1|4|4. Parametric Inference (cont.) and Maximum Likelihood Estimation|2017-08-17T20:51:39Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|rLlZpnT02ZU
10|1|5|5. Maximum Likelihood Estimation (cont.)|2017-08-17T20:51:37Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|0Va2dOLqUfM
11|1|6|6. Maximum Likelihood Estimation (cont.) and the Method of Moments|2017-08-17T20:51:53Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|JTbZP0yt9qc
12|1|7|7. Parametric Hypothesis Testing|2017-08-17T20:51:48Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|phbw9r1iUDI
13|1|8|8. Parametric Hypothesis Testing (cont.)|2017-08-17T20:51:44Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|4HRhg4eUiMo
14|1|9|9. Parametric Hypothesis Testing (cont.)|2017-08-17T20:51:53Z|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|QXkOaifVfW4
